,cell_name,peak_ratio_chirp,peak_freq,db_freq,low_freq_impedance_chirp,high_freq_impedance_chirp,peak_impedance_chirp,phase_peak_chirp,phase_low,phase_high,sync_freq_chirp,total_inductive_phase_chirp,v_baseline_chirp,input_resistance,input_resistance_ss,SSRn,sag_ratio,sag,Vm_VI,tau,Donor,Species,Specie,slice_type,Preparation,sample_id,Brain_Region,Overall Brain Region,drug,Drug_concentration,Virus,Reporter_positive,Delivery_method,DIV,ROI_major,score.Corr_label,cluster_Corr,subclass_Corr_label,patched_cell_container_label,HCN1,HCN2,HCN3,HCN4,PEX5L,Genes.Detected_label,percent_reads_aligned_to_introns_label,marker_sum_norm_label,quality_score_label,pia_depth,pia_distance,layer
0,Q20.26.001.12.05.01,1.113329376,1.701198494,8.255816223,60.2592,16.92849,67.088337,-0.093419757,0.080895136,-0.978596032,1.200845996,0.001956352,-67.19729619,54.86669454,43.61832619,43.61832619,1.257881706,0.194157124,-64.97993469,16.640759,Q20.26.001,M.nemestrina,Macaque,NHP_acute,acute,none,M1,Motor,,,,,,,MCx,,,,,,,,,,,,,,433,433,L3
1,Q20.26.003.12.01.02,1.127846511,4.05120726,8.55254866,52.459522,11.661615,59.166289,-0.459938042,0.186810136,-1.521558096,1.900566369,0.002570407,-66.99764683,48.93273614,32.392781,32.392781,1.51060621,0.385406494,-67.32723236,15.788632,Q20.26.003,M.nemestrina,Macaque,NHP_acute,acute,PQS4_200312_302_A01,Temporal,Temporal,,,,,,,TCx,,,,,,,,,,,,,,861,861,L3
2,Q20.26.003.12.02.02,1.128884858,2.900864458,12.45371121,79.052471,48.864976,89.241137,-0.12399441,0.04030573,-0.375253967,1.650491847,0.001033204,-67.76521495,68.73572688,54.29560938,54.29560938,1.265953687,0.173734203,-69.12788391,9.596939,Q20.26.003,M.nemestrina,Macaque,NHP_acute,acute,none,Temporal,Temporal,,,,,,,TCx,,,,,,,,,,,,,,893,893,L3
3,Q20.26.015.1A.02.01,1.088142421,1.750521655,8.55254866,51.226177,18.948549,55.741376,-0.120939562,0.013903576,-0.775055191,0.750223567,0.000778406,-70.30994899,49.35698076,44.44582679,44.44582679,1.110497527,0.073381826,-71.16346741,14.098049,Q20.26.015,M.nemestrina,Macaque,NHP_acute,acute,PQS4_200729_303_A01,Temporal,Temporal,,,,,,,TCx,0.781478894,L2/3 IT_3,L2/3 IT,PQS4_200729_303_A01,440.8886872,2.578296416,0,0,1124.137238,9381,56.53322443,1.031931742,0.619804401,545,545,L3
4,Q20.26.018.11.01.02,1.321374158,2.450730318,7.602265475,121.189014,44.780285,160.136031,-0.138694121,0.094083543,-0.827249885,1.650491847,0.003388384,-65.0606064,146.4922315,93.47325412,93.47325412,1.567210139,0.331833929,-66.34621429,17.611631,Q20.26.018,M.nemestrina,Macaque,NHP_acute,acute,PQS4_200826_302_A01,Temporal,Temporal,,,,,,,TCx,0.766209248,L2/3 IT_1,L2/3 IT,PQS4_200826_302_A01,330.6698556,0,0,0,457.502129,8136,37.13031893,0.947360059,0.641554495,758,758,L3
5,Q20.26.018.11.11.02,1.275883862,2.900864458,8.002384711,73.286951,21.435444,93.505638,-0.204368529,0.071651593,-1.072035037,1.400417324,0.002988189,-69.20678004,78.49105141,56.4601274,56.4601274,1.390203229,0.315210491,-68.84014893,16.068988,Q20.26.018,M.nemestrina,Macaque,NHP_acute,acute,PQS4_200826_303_A01,Temporal,Temporal,,,,,,,TCx,0.747393556,L2/3 IT_1,L2/3 IT,PQS4_200826_303_A01,476.8058464,0,0,0,619.4019874,7492,54.18314783,1.043694745,0.699270709,561,561,L3
6,Q20.26.021.11.14.01,1.198037221,0.800238471,4.301281782,94.847761,18.482685,113.631148,-0.156355034,0.135014022,-0.942638736,0.45013414,0.004723235,-62.8975379,88.32080668,77.53330578,77.53330578,1.139133767,0.064845167,-65.6758194,23.067609,Q20.26.021,M.nemestrina,Macaque,NHP_acute,acute,PQS4_200915_305_A01,Temporal,Temporal,,,,,,,TCx,,,,,,,,,,,,,,365,365,L3
7,Q20.26.021.11.14.02,1.06158663,1.400417324,5.201550062,98.671466,18.983606,104.748309,-0.211082899,0.040377696,-1.028746161,0.45013414,0.001353378,-73.33095424,81.48126776,70.97187129,70.97187129,1.148078334,0.113391355,-72.67667389,23.636517,Q20.26.021,M.nemestrina,Macaque,NHP_acute,acute,none,Temporal,Temporal,,,,,,,TCx,,,,,,,,,,,,,,487,487,L3
8,Q21.26.005.11.01.01,1,0.400122237,0.800244475,224.249689,35.500531,224.249689,0.210068742,0.210068742,-1.286253298,0.950290314,0.007522386,-58.76017774,134.3043033,107.9946188,107.9946188,1.243620327,0.234757021,-58.9259491,18.228949,Q21.26.005,M.mulatta,,NHP_acute,acute,PKS4_210209_225_A01,Temporal,Temporal,5-HT,100,,,,,TCx,0.700039839,L2/3 IT_2,L4 IT,PKS4_210209_225_A01,149.9894326,6.81770148,0,0,831.7595806,5186,49.89870941,0.999364223,0.621015665,531,531,L3
9,Q21.26.006.11.06.02,1.1984641,2.550760127,5.051505349,127.892977,19.954496,153.275142,-0.434645998,0.052214556,-1.213850199,0.950283184,0.003665157,-61.33922661,132.4605439,86.27607866,86.27607866,1.535310204,0.385428548,-59.04782104,29.470643,Q21.26.006,M.nemestrina,Macaque,NHP_acute,acute,none,Temporal,Temporal,5-HT,100,,,,,TCx,,,,,,,,,,,,,,927,927,L3
10,Q21.26.010.11.13.01,1.092299462,2.572486966,5.38316717,294.693679,68.921164,321.893748,-0.337111076,0.074553367,-1.07926455,0.524025123,0.001842327,-68.59584172,227.7196104,202.4829899,202.4829899,1.124635756,0.134287283,-69.81034088,13.882564,Q21.26.010,M.nemestrina,Macaque,NHP_acute,acute,P7S4_210421_301_A01,STG,Temporal,5-HT,,,,,,TCx,0.755101823,L2/3 IT_3,L2/3 IT,P7S4_210421_301_A01,290.0081824,3.452478362,0,0,365.9627063,6749,43.37401117,0.907115681,0.589303734,529,529,L3
11,Q21.26.010.11.13.02,1.332663193,2.905957499,8.241486021,133.897108,41.129608,178.439747,-0.177759129,0.07711732,-1.016792195,1.000411598,0.001487423,-64.35505465,145.3338779,105.9405622,105.9405622,1.37184356,0.313166291,-64.46098328,16.945417,Q21.26.010,M.nemestrina,Macaque,NHP_acute,acute,P7S4_210421_302_A01,STG,Temporal,5-HT,,,,,,TCx,0.749588087,L2/3 IT_1,L2/3 IT,P7S4_210421_302_A01,712.2048422,0,0,0,765.241373,6627,62.87809783,1.016332336,0.662179832,905,905,L3
12,Q21.26.010.11.13.03,1.459035725,4.381887184,10.6213135,84.163735,36.862563,122.797896,-0.288570042,0.132162098,-1.109455862,2.286202009,0.004817494,-65.98442155,101.8360485,66.11193397,66.11193397,1.540358032,0.365655035,-64.83506775,12.795409,Q21.26.010,M.nemestrina,Macaque,NHP_acute,acute,P7S4_210421_303_A01,STG,Temporal,5-HT,,,,,,TCx,0.746166882,L2/3 IT_1,L2/3 IT,P7S4_210421_303_A01,396.9267943,29.76950957,4.961584929,0,734.3145694,7797,56.52934774,0.968509839,0.638459704,950,950,L3
13,Q21.26.013.11.01.01,1,0.400122237,11.40348376,54.815582,26.303618,54.815582,-0.07323064,-0.07323064,-0.939396085,0.400122237,0,-59.56635647,56.01395174,48.80528363,48.80528363,1.147702617,0.087675981,-59.3080368,,Q21.26.013,M.nemestrina,Macaque,NHP_acute,acute,PKS4_210512_225_A01,STG,Temporal,5-HT,100,,,,,TCx,0.60419491,L2/3 IT_3,L2/3 IT,PKS4_210512_225_A01,146.4908776,39.95205753,0,13.31735251,253.0296977,4062,48.84975462,1.029610214,0.548377536,811,811,L3
