sample_name_old,Cortical_area,Prep,patched_cell_container,subclass_Tree_label,subclass_Corr_label,score.Tree_label,score.Corr_label,cluster_Tree_label,cluster_Tree_label,Genes.Detected,percent_reads_aligned_to_introns,marker_sum_norm_label,projection_type
SM-GE4WL_S047_E1-50,TCx,acute,PXS4_190717_305_A01,L6 IT,L6 IT,0.67,0.6937453850835625,L6 IT_2,L6 IT_2,8065.0,48.3661160745822,1.055288928557351,unknown
SM-GE4WL_S048_E1-50,TCx,acute,PXS4_190717_306_A01,L5 IT,L5 IT,0.47,0.3750602821233399,L5 IT_4,L5 IT_4,1903.0,21.386963611760663,0.5999216603375362,unknown
SM-GE4WL_S049_E1-50,TCx,acute,PXS4_190717_307_A01,L5 ET,L5 ET,0.53,0.49142411582845785,L5 ET_1,L5 ET_1,5256.0,46.08191465076049,0.7476977611929914,unknown
SM-GE4WL_S050_E1-50,TCx,acute,PXS4_190717_308_A01,L6 CT,L6 IT Car3,0.24,0.2685683607807649,L6 CT_1,L6 CT_1,4207.0,26.623530950504826,0.4774657419662866,unknown
SM-GE4WL_S089_E1-50,TCx,acute,PXS4_190718_301_A01,L5 IT,L5 IT,0.59,0.7042537049328936,L5 IT_1,L5 IT_1,7893.0,43.579523215307574,0.9476326465031094,unknown
SM-GE4WL_S090_E1-50,TCx,acute,PXS4_190718_302_A01,L5 IT,L5 IT,0.45,0.6819105600338843,L5 IT_1,L5 IT_1,7596.0,37.075610590915915,0.8866249677722569,unknown
SM-J2NTQ_S505_E1-50,TCx,acute,PQS4_200312_301_A01,L5/6 NP,L5/6 NP,0.41,0.3835894651281524,L5/6 NP_7,L5/6 NP_7,1291.0,27.083679442404033,0.41627090005077066,unknown
SM-J2NTQ_S507_E1-50,TCx,acute,PQS4_200312_303_A01,L6b,L5 ET,0.26,0.3578355195092509,L6b_1,L6b_1,4248.0,6.628565199910959,0.5808293915594743,unknown
SM-J2NTQ_S508_E1-50,TCx,acute,PQS4_200312_304_A01,L6 IT,L6 IT,0.61,0.7249148101246997,L6 IT_2,L6 IT_2,7800.0,50.650795545231,1.0520105819124934,unknown
SM-J2NTQ_S509_E1-50,TCx,acute,PQS4_200312_305_A01,L6 IT,L6 IT,0.21,0.7160480559106814,L6 IT_3,L6 IT_3,8832.0,29.679607067139507,0.9605324286177924,unknown
