"time","instRate","protocol","percent_change","cell_name","predicted_subclass","Species","blockers","bath","puff","DFP","LIMs_depth","assigned_subclass","expCon","response","keep","Date"
-61.17544,5.39665407447383,"baseline",149.060243827816,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-60.98942,6.19041723412158,"baseline",170.984667458798,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-60.82686,5.79307148650214,"baseline",160.009634928133,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-60.6535,5.28317836010144,"baseline",145.925946646736,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-60.4633,5.44899738448126,"baseline",150.506011231987,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-60.27882,5.50600154168043,"baseline",152.08051525875,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-60.09618,5.27481801877835,"baseline",145.695026802903,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-59.90564,5.43714658547194,"baseline",150.178681933962,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-59.72086,5.34016874933248,"baseline",147.500070390336,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-59.53266,5.3827107331252,"baseline",148.675116704135,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-59.34596,5.74118727752899,"baseline",158.576548290816,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-59.17074,5.13452454302732,"baseline",141.819999903955,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-58.9751,5.17866390471258,"baseline",143.039167173973,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-58.78116,5.21920668058455,"baseline",144.158993639323,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-58.58876,5.29380624669137,"baseline",146.219498048143,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-58.39908,5.3972366148532,"baseline",149.076334095932,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-58.21298,5.65482922415743,"baseline",156.191264314037,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-58.03528,5.30222693531283,"baseline",146.452084736449,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-57.84578,5.17063081695967,"baseline",142.817286356227,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-57.65158,5.3011026293469,"baseline",146.42103043519,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-57.46216,5.07253728314903,"baseline",140.107858279874,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-57.26416,4.89668005092547,"baseline",135.250529729186,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-57.05902,4.79984640491504,"baseline",132.575900841386,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-56.85,5.42122953485851,"baseline",149.739039256718,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-56.66476,5.35389227968733,"baseline",147.879126144631,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-56.47714,5.36480686695279,"baseline",148.180596466171,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
