"","Donor","Species","Date","User","slice_type","Slice_ID","cell_name","nwb_file","pxp_file","Brain_Region","Depth_from_pia","LIMS_depth","LIMS_20x","LIMS_63x","LIMS_layer","sample_id","Experiment","protocols","Fast_blockers","puff_drug","wash_drug","bath_drug","drug","Drug_concentration","DIV","Virus","DPI","Reporter_positive","Donor_date","class_Corr","class_Tree","subclass_Tree","subclass_Corr","cluster_Tree","cluster_Corr","score.Corr","score.Tree","marker_sum_norm","percent_reads_aligned_to_introns","Genes.Detected","quality_score","cluster","cluster_score","Cortical_area","predicted_subclass","subclass_Tree.classifier"
"6","Q19.26.005","M.nemestrina",2019-07-17,"Brian","NHPculture","Q19.26.005.1A.06","Q19.26.005.1A.06.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2019/Q19.26.005/Q19.26.005.1A.06.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2019/Q19.26.005/Q19.26.005.1A.06.01.pxp","Temporal",1942,NA,"http://lims2/drawing_tool?image_series=914341972","defer","NaN","PXS4_190717_301_A01","Patch-seq","extended FI  noise",NA,NA,NA,NA,NA,"NULL","7",NA,NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.669535313736532,1,0.987328934118796,46.5793206319645,11254,0.671081143112655,"L2/3_IT_1","1.00","TCx","L2/3_IT","L2/3_IT"
"8","Q19.26.005","M.nemestrina",2019-07-17,"Brian","NHPculture","Q19.26.005.1A.06","Q19.26.005.1A.06.03","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2019/Q19.26.005/Q19.26.005.1A.06.03-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2019/Q19.26.005/Q19.26.005.1A.06.03.pxp","Temporal",1888,NA,"http://lims2/drawing_tool?image_series=914341972","defer","NaN","PXS4_190717_303_A01","Patch-seq","tri blip",NA,NA,NA,NA,NA,"NULL","7",NA,NA,NA,NA,"exc","exc","L5_IT","L5_IT","L5_IT_2","L5_IT_2",0.663266812983157,0.47,0.926729191716127,44.9858106204604,9184,0.583833915289537,"n13","1.00","TCx","L5_IT","L5_IT"
"9","Q19.26.005","M.nemestrina",2019-07-17,"Brian","NHPculture","Q19.26.005.1A.06","Q19.26.005.1A.06.04","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2019/Q19.26.005/Q19.26.005.1A.06.04-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2019/Q19.26.005/Q19.26.005.1A.06.04.pxp","Temporal",1648,1341,"http://lims2/drawing_tool?image_series=914341972","defer","L5","PXS4_190717_304_A01","Patch-seq","noise",NA,NA,NA,NA,NA,"NULL","7",NA,NA,NA,NA,"exc","exc","L5_IT","L5_IT","L5_IT_1","L5_IT_1",0.746130441459013,1,0.9027226671243,24.1932977609904,8367,0.628258361442041,"L5_IT_1","1.00","TCx","L5_IT","L5_IT"
"20","Q19.26.009","M.nemestrina",2019-09-25,"ScottO","NHPculture","Q19.26.009.2A.04","Q19.26.009.2A.04.003",NA,NA,"M1",NA,NA,NA,NA,NA,"PXS4_190925_752_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","NaN","uninfected",NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.619855475242266,0.88,0.721506661982529,49.8711166031665,9283,0.511787798678501,"L2/3_IT_1","0.88","MCx",NA,NA
"26","Q20.26.002","M.mulatta",2020-02-06,"Brian","NHPculture","Q20.26.002.1A.14","Q20.26.002.1A.14.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.002/BK/Q20.26.002.11.06/Q20.26.002.1A.14.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.002/BK/Q20.26.002.11.06/Q20.26.002.1A.14.01.pxp","M1",1209,985,"http://lims2/drawing_tool?image_series=1008132681","http://lims2/siv?sub_image=1138647708","L3","PQS4_200207_301_A01","Patch-seq","extended FI",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.542047246848388,1,0.910831067329322,45.3556725254057,7897,0.422538489669099,"L2/3_IT_1","1.00","MCx",NA,NA
"27","Q20.26.002","M.mulatta",2020-02-06,"Brian","NHPculture","Q20.26.002.1A.14","Q20.26.002.1A.14.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.002/BK/Q20.26.002.11.06/Q20.26.002.1A.14.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.002/BK/Q20.26.002.11.06/Q20.26.002.1A.14.02.pxp","M1",525,416,"http://lims2/drawing_tool?image_series=1008132681","http://lims2/siv?sub_image=1138647708","L2","PQS4_200207_302_A01","Patch-seq","multiple Vm  extended FI  channels",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_3","L2/3_IT_3",0.757697538265631,0.98,0.999411497267197,49.8321227876109,6757,0.589280569197814,"L2/3_IT_3","0.98","MCx",NA,NA
"67","Q20.26.014","M.nemestrina",2020-07-22,"Brian","NHPculture","Q20.26.014.1A.10","Q20.26.014.1A.10.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.01.pxp","M1",900,476,"http://lims2/drawing_tool?image_series=1043801615","defer","L3","PQS4_200722_301_A01","Patch-seq","noise  channels",NA,NA,NA,NA,NA,"NULL","1","CN1633",NA,"SYFP",NA,"inh","inh","Pvalb","Pvalb","Pvalb_3","Pvalb_3",0.391278189986175,0.57,0.649911822946993,33.8518131140425,4646,0.33415869127648,"n48","0.89","MCx",NA,NA
"68","Q20.26.014","M.nemestrina",2020-07-22,"Brian","NHPculture","Q20.26.014.1A.10","Q20.26.014.1A.10.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.02.pxp","M1",900,632,"http://lims2/drawing_tool?image_series=1043801615","candidate","L3","PQS4_200722_302_A01","Patch-seq","noise  channels  extended FI",NA,NA,NA,NA,NA,"NULL","1","CN1633",NA,"SYFP",NA,"inh","inh","Pvalb","Pvalb","Pvalb_4","Pvalb_4",0.752181172718816,1,0.47867182123064,38.824812255544,8495,0.377992580641698,"Pvalb_4","1.00","MCx",NA,NA
"70","Q20.26.014","M.nemestrina",2020-07-22,"Brian","NHPculture","Q20.26.014.1A.10","Q20.26.014.1A.10.04","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.04-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.04.pxp","M1",250,260,"http://lims2/drawing_tool?image_series=1043801615","none","L2","PQS4_200722_303_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","1","CN1633",NA,"SYFP",NA,"inh","inh","Pvalb","Pvalb","Pvalb_4","Pvalb_4",0.634692788848492,0.97,0.511286583676244,39.5845864657107,4622,0.325082172194753,"Pvalb_4","0.97","MCx",NA,NA
"72","Q20.26.014","M.nemestrina",2020-07-22,"Brian","NHPculture","Q20.26.014.1A.10","Q20.26.014.1A.10.06","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.06-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.06.pxp","M1",1500,1403,"http://lims2/drawing_tool?image_series=1043801615","defer","L5","PQS4_200722_304_A01","Patch-seq","noise",NA,NA,NA,NA,NA,"NULL","1","CN1633",NA,"SYFP",NA,"inh","inh","Lamp5","Lamp5","Lamp5_1","Lamp5_1",0.294320264274526,0.29,0.39928789044446,23.7652182510379,1231,0.254560812611489,"n22","0.74","MCx",NA,NA
