cell_name,hier_class_assignment,hier_neighborhood_assignment,hier_subclass_assignment,hier_cluster_assignment,hier_subclass_bootstrap_prob,hier_subclass_avg_corr,subclass_Corr,subclass_Tree,cluster_Corr_label,predicted_subclass,Cortical_area,Species,LIMS_depth,Depth_from_pia,Genes.Detected,percent_reads_aligned_to_introns,marker_sum_norm_label,quality_score_label,score.Corr_label,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR4,HTR5A,HTR6,HTR7,htr1a_status,htr1b_status,HTR1_sum,HTR2_sum,HTR0_sum,HTR_balance
QN22.26.022.5A.01.01,NA,NA,NA,NA,NA,NA,L2/3_IT,Pvalb,L2/3 IT_1,NA,MCx,M.nemestrina,1640,NA,6789,27.87149773088303,0.6327903947649708,0.20166910271519187,0.360923708664154,0,0,2.2519323813938845,0,3.0919381400711523,0,0,4.559444386745125,5.271726010521252,0,0,2.2519323813938845,provisional_seurat_primary,provisional_seurat_primary,5.343870521465037,4.559444386745125,7.523658391915136,-0.7844261347199124
QN22.26.022.5A.01.02,exc,l5et_l56np_l6ct_l6b,L6b,L6b_2,0.66,0.21562676232115385,L2/3_IT,L6b,L2/3 IT_1,NA,MCx,M.nemestrina,2433,NA,10506,23.932587087289317,0.5000078007351605,0.24278989253448105,0.40380211206130723,0,0,2.629802730628951,0,2.629802730628951,0,3.134897827932243,1.8458741021995502,3.134897827932243,0,0,1.8458741021995502,provisional_seurat_primary,provisional_seurat_primary,5.259605461257902,4.980771930131793,4.980771930131793,-0.278833531126109
QN22.26.022.5A.01.04,NA,NA,NA,NA,NA,NA,L2/3_IT,Sst,L2/3 IT_1,NA,MCx,M.nemestrina,1424,NA,10269,21.332893008567495,0.20950876599294824,0.07377063840955797,0.21501252905334456,0,0,0,0,0,0,0,0,1.6856828535331092,0,0,4.04600935000002,provisional_seurat_primary,provisional_seurat_primary,0,0,5.731692203533129,0
QN22.26.022.5A.01.05,inh,sst_sst_chodl_pvalb,Sst,Sst_7,0.5,0.18352938407064115,L2/3_IT,Sst,L2/3 IT_1,NA,MCx,M.nemestrina,1348,NA,9961,19.426554046699696,0.26261392121132393,0.09646580461128268,0.20035442210221402,0,0,0,0,2.7425224678515545,0,1.9434327320725342,0,0,2.7425224678515545,0,1.9434327320725342,provisional_seurat_primary,provisional_seurat_primary,2.7425224678515545,1.9434327320725342,4.685955199924089,-0.7990897357790203
QN22.26.022.5A.09.02,NA,NA,NA,NA,NA,NA,L2/3_IT,L6b,L2/3 IT_1,NA,MCx,M.nemestrina,1731,NA,10261,13.674534443052547,0.4028650809808234,0.15984952132160635,0.3133390666994668,0,0,1.815977386078622,1.815977386078622,2.5950170451699694,0,0,0,0,0,0,2.5950170451699694,provisional_seurat_primary,provisional_seurat_primary,6.226971817327213,0,2.5950170451699694,-6.226971817327213
QN25.26.009.14v.05.01.08,inh,lamp5_sncg_vip,Vip,Vip_4,0.6,0.21643912010335611,L5_ET,Vip,L5 ET_2,NA,Striatum,M.nemestrina,NA,NA,4346,33.47480430116293,0.29935396503978734,0.23323321584072143,0.3415847649520017,0,0,0,0,2.198909593035425,2.198909593035425,0,2.198909593035425,0,0,0,0,provisional_seurat_primary,provisional_seurat_primary,2.198909593035425,4.39781918607085,0,2.198909593035425
Q21.26.005.11.03.01,exc,l5et_l56np_l6ct_l6b,L5_ET,L5_ET_1,0.97,0.2678944151999864,L5_ET,L2/3_IT,L5 ET_1,L5_ET,TCx,M.mulatta,1306,1390,1323,33.25053018383792,0.537440905495078,0.30754845220585963,0.4079996994787771,0,0,0,0,0,0,0,0,6.730248477784794,0,0,0,provisional_seurat_primary,provisional_seurat_primary,0,0,6.730248477784794,0
Q21.26.005.11.03.02,exc,l5et_l56np_l6ct_l6b,L5_ET,L5_ET_2,0.96,0.3257593110022244,L5_ET,L5_ET,L5 ET_1,L5_ET,TCx,M.mulatta,1287,1400,4825,17.40463607902991,0.798600138240834,0.40490444218214966,0.4478841332113322,0,0,0,3.4812689938027397,4.4151864735036765,8.051817831211501,0,0,4.022514495458644,6.449990974387574,0,3.4812689938027397,provisional_seurat_primary,provisional_seurat_primary,7.896455467306416,8.051817831211501,13.953774463648958,0.15536236390508495
Q21.26.005.11.03.03,exc,it_types,L4_IT,L2/3_IT_2,1,0.4576769207110924,L4_IT,L4_IT,L2/3 IT_2,L4_IT,TCx,M.mulatta,1284,1300,6260,53.26649229915699,0.9332507258360181,0.6095662378128208,0.6814405808688994,0,4.617040936669729,0,0,0,0,5.3699421501906865,0,7.282522501244394,0,0,0,provisional_seurat_primary,provisional_seurat_primary,4.617040936669729,5.3699421501906865,7.282522501244394,0.7529012135209578
Q21.26.006.11.06.01,exc,l5et_l56np_l6ct_l6b,L5_ET,L5_ET_2,1,0.6895333978629181,L5_ET,L5_ET,L5 ET_2,L5_ET,TCx,M.nemestrina,1147,1350,9333,50.02311368285773,0.9350443145415823,0.5749049357718025,0.8134275170637468,0,0,0,6.297930193878745,6.778108579979094,8.19514014817614,2.0381591406787614,2.0381591406787614,8.298421570973167,6.857568213169651,3.3675994249928265,0,provisional_seurat_primary,provisional_seurat_primary,13.076038773857839,12.271458429533663,18.523589209135643,-0.8045803443241759
