"",score.Corr,score.Tree,class_Corr,subclass_Corr,cluster_Corr,class_Tree,subclass_Tree,cluster_Tree,cluster,cluster_score,res.index,quality_score,marker_sum_norm,Norm_Marker_Sum.0.4,contaminationType,contam_sum,Tree_call,Tree_first_cor,Tree_first_bt,Tree_second_bt,Tree_first_KL,Tree_second_KL,number_genes_CPMgt0,number_genes_CPMgt1
SM-GE63V_S149_E1-50,0.259953428032788,0.31,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,Neuronal: Glutamatergic,L6 IT,L6 IT_2,n70,0.85,0.355961112058673,0.13634790290184,0.36536317904618,FALSE,Microglia.PVM,1.01810506512401,PoorQ,0.259953428032788,0.38,0.13,6.36925926951027,6.37548880122125,6224,5169
SM-GE63V_S151_E1-50,0.284308194139006,0.44,Neuronal: Glutamatergic,L5 IT,L5 IT_7,Neuronal: Glutamatergic,L4 IT,L4 IT_1,n83,0.92,0.513559611120587,0.149421098780064,0.162314985290552,FALSE,Microglia.PVM,0.27748179179412,PoorQ,0.284308194139006,0.86,0.11,0.16799875832674,1.46282498215016,3904,3904
SM-GE652_S143_E1-50,0.337440455850879,0.45,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_7,Neuronal: Glutamatergic,L6b,L6b_2,n94,0.77,0.534026948661095,0.28085756700884,0.44288562784234,TRUE,VLMC,0.0927196279894908,PoorQ,0.337440455850879,0.53,0.47,0.396637304176749,0.752425428134311,3304,3304
SM-GE652_S145_E1-50,0.22697941123934,0.74,Neuronal: Glutamatergic,L6b,L6b_2,Neuronal: Glutamatergic,L5 ET,L5 ET_2,L5 ET_2,0.74,1,0.201567899442418,0.25673642218668,FALSE,Endothelial,0.0521712710270975,PoorQ,0.22697941123934,0.73,0.21,0.428793590831499,1.51933766276486,3017,3017
SM-GE652_S146_E1-50,0.367967027764449,0.61,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_8,n78,0.78,0.791744840525328,0.2300467401364,0.405727039367502,TRUE,Microglia.PVM,1.02317784303435,PoorQ,0.367967027764449,0.54,0.45,0.471356743249523,0.883634819316771,6883,6883
SM-GE652_S147_E1-50,0.227458045630499,0.41,Neuronal: Glutamatergic,L6b,L6b_2,Neuronal: Glutamatergic,L6b,L6b_2,n98,0.77,0.629029507078288,0.0156791647210686,0.135900803826632,FALSE,Microglia.PVM,1.18474072008803,PoorQ,0.227458045630499,0.41,0.2,7.59333034851803,9.37152511500502,6165,6165
SM-GE652_S156_E1-50,0.822154187258418,0.98,Neuronal: Glutamatergic,L5 IT,L5 IT_2,Neuronal: Glutamatergic,L5 IT,L5 IT_2,L5 IT_2,0.98,1,0.617724551644799,1.06043846271312,TRUE,Oligodendrocyte,0.388203073069628,PoorQ,0.822154187258418,0.19,0.19,8.32886572921827,8.72327906372342,8511,8511
SM-GE652_S157_E1-50,0.257932009355364,0.32,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: GABAergic,Sst,Sst_25,n2,0.95,0.163397578031725,0.0869725429121086,0.391001391718963,FALSE,Microglia.PVM,1.44955406865514,PoorQ,0.257932009355364,0.53,0.43,0.949128739933652,1.93550564098262,7973,7973
SM-GE652_S158_E1-50,0.803546809842874,0.65,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_10,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_10,n80,0.72,0.873614190687361,0.581269914070168,0.991371502718205,TRUE,Microglia.PVM,0.978397420266354,I2,0.803546809842874,0.52,0.33,1.32808547277788,2.00139337613118,10746,9697
SM-GE652_S160_E1-50,0.676049193024728,0.93,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,L2/3 IT_6,0.93,1,0.375471852669074,0.816193566993219,TRUE,Microglia.PVM,1.26417811632406,PoorQ,0.676049193024728,0.34,0.13,5.17138971356296,6.16902017333815,9880,8898
SM-GE652_S167_E1-50,0.214988794886916,0.89,Neuronal: Glutamatergic,L6 IT Car3,L6 IT Car3_3,Neuronal: GABAergic,Pax6,Pax6_3,Pax6_3,0.89,1,0.0116806867406106,0.184429338694207,FALSE,Microglia.PVM,1.1021349744898,PoorQ,0.214988794886916,0.59,0.14,4.61679007626525,5.41052823695952,6319,6319
SM-GE652_S168_E1-50,0.710008847363813,0.89,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,L2/3 IT_2,0.89,1,0.339025480368882,0.720725949778033,TRUE,Microglia.PVM,1.45972890774841,PoorQ,0.710008847363813,0.28,0.09,7.86054509732795,8.61698861103566,10008,9106
SM-GE652_S174_E1-50,0.781962261635107,0.68,Neuronal: Glutamatergic,L6 IT,L6 IT_1,Neuronal: Glutamatergic,L6 IT,L6 IT_1,n82,0.71,0.792938768548525,0.549668892898,0.962436933505229,TRUE,Microglia.PVM,1.1260839323457,PoorQ,0.781962261635107,0.56,0.24,3.22271881161215,4.11717697335332,10204,10204
SM-GE652_S189_E1-50,0.78976712783342,1,Neuronal: Glutamatergic,L4 IT,L4 IT_1,Neuronal: Glutamatergic,L4 IT,L4 IT_1,L4 IT_1,1.00,1,0.536375677512818,0.799386737467357,TRUE,Endothelial,0.275349692252599,Core,0.78976712783342,0.93,0.07,0.1823307967368,3.71223773138315,7553,7553
SM-GE64T_S106_E1-50,0.175026345008174,0.41,Neuronal: Glutamatergic,L6 IT,L6 IT_2,Neuronal: Glutamatergic,L5 ET,L5 ET_2,n69,0.76,0.28927170390585,0,0.204312035888984,FALSE,Microglia.PVM,0.475082977662935,PoorQ,0.175026345008174,0.47,0.24,6.57267722639883,8.17515428523945,2988,2988
SM-GE64T_S107_E1-50,0.184362577586983,0.49,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,n72,0.71,0.461026778099949,0.0865113219168362,0.269052688922557,FALSE,Astrocyte,0.955694720782254,PoorQ,0.184362577586983,0.58,0.42,0.705322880344822,1.5356069773797,4286,4286
SM-GE64T_S110_E1-50,0.19739852107475,0.22,Neuronal: GABAergic,Vip,Vip_19,Neuronal: GABAergic,Chandelier,Chandelier_2,n2,0.76,0.163397578031725,0.0551168862234867,0.0920304422638969,FALSE,Microglia.PVM,0.60627606468123,PoorQ,0.19739852107475,0.76,0.24,0.48967555289296,2.6955652998417,2966,2966
SM-GE64T_S122_E1-50,0.238911401233566,0.48,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,Neuronal: GABAergic,Pvalb,Pvalb_9,n37,0.92,0.340781170049463,0.146062227682556,0.163021398892419,FALSE,Microglia.PVM,0.56948632558971,PoorQ,0.238911401233566,0.79,0.19,0.329711370245363,2.26655197063927,2641,2641
SM-GE64V_S101_E1-50,0.33360828117645,0.99,Neuronal: Glutamatergic,L5/6 NP,L5/6 NP_2,Neuronal: Glutamatergic,L5/6 NP,L5/6 NP_2,L5/6 NP_2,0.99,1,0.23940869639387,0.383109323048753,FALSE,Astrocyte,0.0913497958895682,PoorQ,0.33360828117645,0.99,0.01,0.100692838499094,3.12587037803223,4575,4575
SM-GE64F_S160_E1-50,0.109040331299418,0.25,Neuronal: GABAergic,Sncg,Sncg_6,Neuronal: GABAergic,Pax6,Pax6_3,n1,1,0,0,0.0655433046199374,FALSE,Microglia.PVM,1.48090324434615,PoorQ,0.109040331299418,1,0,0.0642151529587141,3.45139840686714,5855,5855
SM-GE64F_S161_E1-50,0.223186725634609,0.36,Neuronal: GABAergic,Sncg,Sncg_2,Neuronal: GABAergic,Sst Chodl,Sst Chodl_1,n1,1,0,0.165891789729171,0.341831159391711,FALSE,Microglia.PVM,0.786022345352357,PoorQ,0.223186725634609,0.64,0.29,0.386875963145174,1.92929427334917,3846,3846
SM-GE64F_S171_E1-50,0.257022255214637,0.87,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: Glutamatergic,L6b,L6b_2,L6b_2,0.87,1,0.105757729646204,0.222768495748343,FALSE,Microglia.PVM,0.706766559920824,PoorQ,0.257022255214637,0.31,0.2,5.94063254455334,7.97482438156508,4313,3251
SM-GE64F_S172_E1-50,0.221245280222152,0.4,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: GABAergic,Sncg,Sncg_2,n2,0.92,0.163397578031725,0.126336885420008,0.243514630860455,FALSE,Microglia.PVM,0.811449053690633,PoorQ,0.221245280222152,0.45,0.31,0.551725157301314,0.676236228860874,5565,5565
SM-GE64F_S178_E1-50,0.703786564068717,0.99,Neuronal: Glutamatergic,L5 IT,L5 IT_2,Neuronal: Glutamatergic,L5 IT,L5 IT_2,L5 IT_2,0.99,1,0.415354808750462,0.838291039412749,TRUE,Endothelial,0.46612212264201,I1,0.703786564068717,0.56,0.16,1.52439635444846,1.8988675681719,7115,7115
